Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean
1999,10,31,0.013964516,0.05263453,0,0,0,0,0.2214,0.4329
1999,11,30,0.094223333,0.376462567,0,0,0,0.00055,1.8759,2.8267
1999,12,31,0.118090323,0.469602967,0,0,0,0.00165,2.4888,3.6608
2000,1,31,0.067758065,0.286661417,0,0,0,0.0004,1.5664,2.1005
2000,2,29,0.073475862,0.212837171,0,0,0,0.0083,1.0118,2.1308
2000,3,31,0.127354839,0.395757421,0,0,0,0.00045,2.0385,3.948
2000,4,30,0.496533333,1.811598453,0,0,0.0005,0.04085,9.5596,14.896
2000,5,31,0.093235484,0.286703872,0,0,0,0.00465,1.4964,2.8903
2000,6,30,0.409376667,0.946647472,0,0,0,0.251625,3.7345,12.2813
2000,7,31,0.295322581,0.783934567,0,0,0.0001,0.08195,3.3727,9.155
2000,8,31,0.263890323,1.0817032,0,0,0,0.0498,6.0149,8.1806
2000,9,30,0.410263333,1.091432754,0,0,0,0.0966,5.2152,12.3079
2000,10,31,6.45E-06,2.50E-05,0,0,0,0,0.0001,0.0002
2000,11,30,0.057493333,0.164139009,0,0,0,0.001575,0.6811,1.7248
2000,12,31,0.060470968,0.27916159,0,0,0,0.00085,1.5535,1.8746
2001,1,31,0.063319355,0.233755605,0,0,0,0.00155,1.2877,1.9629
2001,2,28,0.024260714,0.084965371,0,0,0,0.0017,0.4183,0.6793
2001,3,31,0.275783871,1.01889025,0,0,0,0.0105,5.3364,8.5493
2001,4,30,0.03854,0.185617838,0,0,0,7.50E-05,1.0182,1.1562
2001,5,31,0.607109677,1.666816329,0,0,0.0012,0.25145,6.9623,18.8204
2001,6,30,0.124086667,0.29672118,0,0,0,0.090375,1.4136,3.7226
2001,7,31,0.158451613,0.404435643,0,0,0,0.0307,1.8577,4.912
2001,8,31,0.086751613,0.275118814,0,0,0,0.05525,1.4682,2.6893
2001,9,30,0.073183333,0.264881467,0,0,0,0,1.392,2.1955
2001,10,31,0.096670968,0.536442193,0,0,0,0,2.9871,2.9968
2001,11,30,0.00413,0.016369613,0,0,0,0,0.0855,0.1239
2001,12,31,0.119870968,0.53408562,0,0,0,0.0064,2.9835,3.716
2002,1,31,0.055470968,0.184294621,0,0,0,0.00285,0.9788,1.7196
2002,2,28,0.009503571,0.037386118,0,0,0,2.50E-05,0.1871,0.2661
2002,3,31,0.190667742,0.385654998,0,0,0,0.13145,1.7031,5.9107
2002,4,30,0.084653333,0.220000658,0,0,0,0.02205,0.9877,2.5396
2002,5,31,0.29883871,1.005613808,0,0,0,0.07455,5.4233,9.264
2002,6,30,0.10387,0.260576831,0,0,0,0.0124,1.1894,3.1161
2002,7,31,0.134251613,0.313278324,0,0,0.0005,0.10385,1.5739,4.1618
2002,8,31,0.029551613,0.074841254,0,0,0,0.02195,0.389,0.9161
2002,9,30,0.144216667,0.336235725,0,0,0,0.0257,1.2822,4.3265
2002,10,31,0.279364516,0.622576932,0,0,0,0.14915,2.6007,8.6603
2002,11,30,0.356766667,1.069179648,0,0,0,0.0221,5.3914,10.703
2002,12,31,0.158496774,0.420402037,0,0,0,0.0117,1.8864,4.9134
2003,1,31,0.04436129,0.176997967,0,0,0,0.0011,0.9469,1.3752
2003,2,28,0.282632143,0.935087669,0,0,0.0061,0.13585,4.9075,7.9137
2003,3,31,0.219225806,0.765730954,0,0,0,0.0368,3.6668,6.796
2003,4,30,0.323856667,0.795270809,0,0,0,0.17065,3.6103,9.7157
2003,5,31,0.580896774,1.107543497,0,0,0.0416,0.4471,3.9416,18.0078
2003,6,30,0.66249,1.373709588,0,0,0.04165,0.5479,5.7859,19.8747
2003,7,31,0.446641935,0.824396947,0,0,0.0116,0.4442,3.0639,13.8459
2003,8,31,0.259180645,0.796167953,0,0,0.0002,0.0699,3.5262,8.0346
2003,9,30,0.39284,0.786294854,0,0,0.00015,0.2067,3.097,11.7852
2003,10,31,0.164522581,0.661321394,0,0,0,0.0047,3.4755,5.1002
2003,11,30,0.544626667,1.626978668,0,0,0,0.061025,6.4616,16.3388
2003,12,31,0.085883871,0.260537024,0,0,0.0007,0.06105,1.4192,2.6624
2004,1,31,0.054445161,0.144575083,0,0,0,0.00045,0.5459,1.6878
2004,2,29,0.235244828,1.096675126,0,0,0.0003,0.0159,5.9245,6.8221
2004,3,31,0.1049,0.305069658,0,0,0,0.0017,1.1454,3.2519
2004,4,30,0.171383333,0.454969295,0,0,0,0.002225,2.0318,5.1415
2004,5,31,0.2001,0.363268113,0,0,0.0082,0.2139,1.4442,6.2031
2004,6,30,0.36972,0.749750217,0,0,0.0001,0.265175,2.7988,11.0916
2004,7,31,0.261058065,0.687897343,0,0,0.0075,0.20165,3.6116,8.0928
2004,8,31,0.121706452,0.280023891,0,0,0,0.0619,1.3025,3.7729
2004,9,30,2.023426667,6.714952588,0,0,0,0,26.9394,60.7028
2004,10,31,0.126045161,0.53711607,0,0,0,0.01395,2.9789,3.9074
2004,11,30,0.288346667,0.770326504,0,0,0,0.00425,3.4181,8.6504
2004,12,31,0.187596774,0.595945564,0,0,0,0,3.028,5.8155
2005,1,31,0.211867742,1.083927287,0,0,0,0.00295,6.0469,6.5679
2005,2,28,0.024557143,0.053889059,0,0,0,0.0108,0.2147,0.6876
2005,3,31,0.173970968,0.586298466,0,0,0.0012,0.0627,3.2261,5.3931
2005,4,30,0.09986,0.282225451,0,0,0,0.02155,1.2596,2.9958
2005,5,31,0.094835484,0.467940708,0,0,0,0.0004,2.6044,2.9399
2005,6,30,0.14751,0.337669457,0,0,0.0097,0.15435,1.7069,4.4253
2005,7,31,0.306525806,0.694548401,0,0,0.0077,0.1099,2.7567,9.5023
2005,8,31,0.112519355,0.250412434,0,0,0.0042,0.0812,1.2882,3.4881
2005,9,30,0.00393,0.01767461,0,0,0,0,0.0957,0.1179
2005,10,31,0.406848387,1.246897366,0,0,0,0.0032,5.2839,12.6123
2005,11,30,0.243163333,0.849878641,0,0,0,0.000975,4.5453,7.2949
2005,12,31,0.035319355,0.058579584,0,0,0.0025,0.04815,0.2113,1.0949
2006,1,31,0.250554839,0.857150296,0,0,0,0.04115,4.6654,7.7672
2006,2,28,0.041067857,0.149027532,0,0,0,0.0015,0.7666,1.1499
2006,3,31,0.0064,0.016460903,0,0,0,0.00055,0.072,0.1984
2006,4,30,0.130533333,0.36593379,0,0,0.00045,0.007625,1.7513,3.916
2006,5,31,0.067054839,0.217409175,0,0,0,0.00325,1.0233,2.0787
2006,6,30,0.704843333,1.811359491,0,0,0,0.096275,6.9096,21.1453
2006,7,31,0.145380645,0.425866742,0,0,0,0.0188,1.7088,4.5068
2006,8,31,0.192567742,0.691130887,0,0,0.0002,0.0087,3.4554,5.9696
2006,9,30,0.20102,0.610789479,0,0,0,0.049625,3.1857,6.0306
2006,10,31,0.374164516,0.79250621,0,0,0,0.31,2.9915,11.5991
2006,11,30,0.369366667,1.510088966,0,0,0,0.004175,8.2458,11.081
2006,12,31,0.121541935,0.442054539,0,0,0,5.00E-05,2.0549,3.7678
2007,1,31,0.146796774,0.523500479,0,0,0,0.0018,2.8286,4.5507
2007,2,28,0.029939286,0.061909285,0,0,0,0.028525,0.2647,0.8383
2007,3,31,0.268174194,0.875908339,0,0,0,0.0031,4.2118,8.3134
2007,4,30,0.212276667,0.795601954,0,0,0,0.004675,4.1219,6.3683
2007,5,31,0.071532258,0.176227331,0,0,0,0.0157,0.7286,2.2175
2007,6,30,0.265266667,0.786918651,0,0,0.0007,0.030125,3.9082,7.958
2007,7,31,0.155796774,0.344511022,0,0,0,0.1287,1.3469,4.8297
2007,8,31,0.044329032,0.106390257,0,0,0,0.0105,0.509,1.3742
2007,9,30,0.177223333,0.744603975,0,0,0,0,3.9167,5.3167
2007,10,31,0.255835484,0.789053545,0,0,0,5.00E-05,3.3205,7.9309
2007,11,30,0.006293333,0.018838825,0,0,0,0.000675,0.0865,0.1888
2007,12,31,0.050974194,0.157865384,0,0,0,0.0333,0.8596,1.5802
2008,1,31,0.022819355,0.053518772,0,0,0.0004,0.00575,0.2419,0.7074
2008,2,29,0.165031034,0.513362153,0,0,0.0002,0.0936,2.7198,4.7859
2008,3,31,0.271022581,0.78876739,0,0,0,0.01335,3.2584,8.4017
2008,4,30,0.41736,1.469368695,0,0,0.00015,0.13775,8.0224,12.5208
2008,5,31,0.184403226,0.670060463,0,0,0,0.0177,3.6634,5.7165
2008,6,30,0.25002,0.644534198,0,0,0.00125,0.017125,3.096,7.5006
2008,7,31,0.25686129,1.002136918,0,0,0,0.0861,5.5873,7.9627
2008,8,31,0.18063871,0.815568992,0,0,0,0.0016,4.4827,5.5998
2008,9,30,0.130473333,0.531843943,0,0,0,0.00115,2.8511,3.9142
2008,10,31,0.029509677,0.101094508,0,0,0,0,0.414,0.9148
2008,11,30,0.10238,0.340888789,0,0,0,0.000275,1.6389,3.0714
2008,12,31,0.138132258,0.512340834,0,0,0.0001,0.02455,2.7981,4.2821
2009,1,31,0.189503226,0.797570783,0,0,0,0.001,4.396,5.8746
2009,2,28,0.045710714,0.135024366,0,0,0,5.00E-05,0.5985,1.2799
2009,3,31,0.126754839,0.237102709,0,0,0,0.09295,0.7582,3.9294
2009,4,30,0.176916667,0.529535286,0,0,0,0.02665,2.2814,5.3075
