,Year,Month,count,mean,std,min,25%,50%,75%,max,monthly_mean,YYYY/MO
132,1992,1,31.0,0.1762290322580645,0.6587074207332357,0.0,0.0,0.0,0.0003,3.2215,5.463099999999999,1992/1
133,1992,2,29.0,0.1510206896551724,0.5269722752122397,0.0,0.0,0.0,0.037,2.784,4.3796,1992/2
134,1992,3,31.0,0.0952677419354838,0.2606421971299566,0.0,0.0,0.0004,0.0171,1.3315,2.953299999999998,1992/3
135,1992,4,30.0,0.5854666666666668,2.6141054002618485,0.0,0.0,0.0,0.003025,14.1818,17.564000000000004,1992/4
136,1992,5,31.0,0.5431193548387095,1.5125806209740489,0.0,0.0,0.0,0.1523499999999999,6.3232,16.836699999999997,1992/5
137,1992,6,30.0,0.32905,0.705037146857012,0.0,0.0,0.00085,0.116525,2.25,9.871500000000001,1992/6
138,1992,7,31.0,0.1090612903225806,0.2449090057925179,0.0,0.0,0.0,0.04495,0.8711,3.3808999999999987,1992/7
139,1992,8,31.0,0.1266999999999999,0.4418968499548283,0.0,0.0,0.0,0.0107,1.9266,3.9276999999999966,1992/8
140,1992,9,30.0,0.1149933333333333,0.3174292665529878,0.0,0.0,5e-05,0.0534,1.2843,3.449799999999999,1992/9
141,1992,10,31.0,0.1115193548387097,0.3592709250870478,0.0,0.0,0.0,0.0009,1.7647,3.4571000000000005,1992/10
142,1992,11,30.0,0.5124766666666667,1.2334021640982709,0.0,0.0,0.00025,0.488325,6.2604,15.374300000000002,1992/11
143,1992,12,31.0,0.0897483870967742,0.171102019997754,0.0,0.0,0.0,0.07985,0.6525,2.7822,1992/12
144,1993,1,31.0,0.3448967741935483,0.730832321618701,0.0,0.0,0.0,0.2926999999999999,2.8279,10.691799999999997,1993/1
145,1993,2,28.0,0.171025,0.4844571155007006,0.0,0.0,0.0,0.0048249999999999,1.7808,4.7887,1993/2
146,1993,3,31.0,0.7647354838709676,2.337009648182677,0.0,0.0,0.0033,0.1997499999999999,12.4709,23.706799999999994,1993/3
147,1993,4,30.0,0.2456799999999999,0.4900750332417439,0.0,0.0,0.0,0.020375,1.4724,7.3703999999999965,1993/4
148,1993,5,31.0,0.2250774193548387,0.4560833861694425,0.0,0.0,0.0,0.1513,1.6521,6.977399999999999,1993/5
